Name,Other Name,DOB,Spouse,Awards,Constituency,Political Party,Children,Relatives,Occupations,Website,Notable Works,Parents,Honours,Age
Vinay Rajkumar,Unknown,1989-05-07,Unknown,Unknown,Unknown,Unknown,Unknown,See Rajkumar family,Unknown,Unknown,Unknown,Unknown,Unknown,7
Raj B. Shetty,Unknown,1987-07-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5
Chikkanna,Unknown,1984-06-22,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,22
Tharun Sudhir,Unknown,Unknown,Sonal Monteiro ​​,Unknown,Unknown,Unknown,Unknown,Nanda Kishore (Brother),Unknown,Unknown,Unknown,Unknown,Unknown,9
Ravichandran Manoranjan,Unknown,1987-12-11,Unknown,Unknown,Unknown,Unknown,Unknown,N. Veeraswamy (grandfather),Unknown,Unknown,Unknown,Unknown,Unknown,11
Nirup Bhandari,Unknown,1984-08-13,Dhanya ​​,Unknown,Unknown,Unknown,Unknown,Anup Bhandari (Brother),Unknown,Unknown,Unknown,Unknown,Unknown,13
Arjun Kapikad,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kiran Raj,Unknown,1993-07-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor model,Unknown,Tu Aashiqui (2017–18) March 22 (2017) Kannadathi (2020–23),Unknown,Unknown,5
Praveen Tej,Unknown,1984-12-03,Deepika Nazre ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3
Sipaayi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Hariprriya,Shruthi Chandrasena,1991-10-29,Vasishta N. Simha ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Full list,Unknown,Unknown,1
Meghana Raj,Meghana Sundar Raj Bangalore,Unknown,Chiranjeevi Sarja ​ ​​,Unknown,Unknown,Unknown,1.0,Dhruv Sarja (brother-in-law) Arjun Sarja (uncle) Aishwarya Arjun (sister-in-law),Unknown,Unknown,Unknown,Sundar Raj (father) Pramila Joshai (mother),Unknown,Unknown
Samyuktha Hegde,Unknown,1998-07-17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17
Shanvi Srivastava,Unknown,1993-12-08,Unknown,Unknown,Unknown,Unknown,Unknown,Vidisha Srivastava (sister),Actress model,Unknown,Unknown,Unknown,Unknown,8
Nabha Natesh,Unknown,1995-12-11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress Model,Unknown,Unknown,Unknown,Unknown,11
Bhavana,Karthika Menon,1986-06-06,Naveen ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Actress dancer,Unknown,Unknown,Unknown,Unknown,6
Shraddha Srinath,Unknown,1990-09-29,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29
Deepa Sannidhi,Rahasya Chikkamagaluru,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Shashidhar (father) Nanda (mother),Unknown,Unknown
Neha Shetty,Mangalore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,Unknown
Niveditha,Smitha Jagadish Karnataka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ranya Rao,Karnataka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991
Kavya Shetty,Kavya,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,Unknown
Mayuri Kyatari,Unknown,1995-03-05,Arun Raju [ 1 ] ​ ​​,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5
Shashi Kumar,Shashikumar Nayak,1965-12-02,Unknown,Unknown,Unknown,Bharatiya Janata Party (2022–present),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2
Avinash Yelandur,Yelandur Narayan Ravindra,1959-12-22,Malavika ​​,Unknown,Unknown,Unknown,1.0,Unknown,Actor professor,Unknown,Unknown,Unknown,Unknown,22
Ravindra Vijay,Bangalore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ravindravijay.com,Unknown,Unknown,Unknown,Unknown
Rajesh Nataranga,Rajesh,1973-04-18,Chaitra Rajesh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18
K .Suchendra Prasad,Karnataka,Unknown,Mallika Prasad Sinha ​ ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1973
Kashinath,Unknown,1951-05-08,Chandraprabha,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8
Lokesh,Madapura Subbaiah Naidu Lokanatha Naidu,1947-05-19,Girija,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,19
K. S. Ashwath,Karaganahalli Subbaraya Ashwathanarayana,1925-03-25,Sharadamma,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25
Shivaram,Unknown,1938-01-28,Padma,Unknown,Unknown,Unknown,Unknown,S. Ramanathan (brother),Unknown,Unknown,Unknown,Unknown,Unknown,28
Sadhu Kokila,Sahaya Sheela Shadrach,1966-03-24,Saleena,Unknown,Unknown,Unknown,2.0,Unknown,Musician actor film director singer producer,www .sadhukokila .yolasite .com,Unknown,Unknown,Unknown,1
T.S. Nagabharana,Talakadu Srinivasaiah Nagabharana,1953-01-23,Naginibharana,Unknown,Unknown,Unknown,Unknown,Shivarudra Dev (brother) [ 2 ],Film director producer screenwriter actor theatre worker,Unknown,Unknown,Unknown,Unknown,23
T. N. Seetharam,Unknown,1948-12-06,Geetha,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6
B. C. Patil,Basavanagowda Channabasavanagowda Patil,1956-11-14,Vanaja,Unknown,Hirekerur,Bharatiya Janata party (2019–present),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14
Vijay Sethupathi,Vijaya Gurunatha Sethupathi Kalimuthu,1978-01-16,Jessie ​​,Unknown,Unknown,Unknown,2.0,Unknown,Actor Film producer,Unknown,Full list,Unknown,Unknown,1
Rajesh Krishnan,Bangalore,Unknown,Unknown,Filmfare Awards Karnataka State Film Awards Suvarna Film Awards Udaya Film Awards Nandi Awards SIIMA Awards,Unknown,Unknown,Unknown,Unknown,Playback singer actor musician dubbing artist,Unknown,Unknown,Unknown,Unknown,Unknown
Sharan,Unknown,1972-02-06,Palavi Sharan,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6
Komal Kumar,Komal Kumar Shivalingappa,1973-07-04,Anasooya,Unknown,Unknown,Unknown,Unknown,Jaggesh (brother),Unknown,Unknown,Unknown,Unknown,Unknown,4
Kalpana,Sharat Lata,1943-07-18,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18
Leelavathi,Leena Sequeira,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1937
Padma Vasanthi,Karnataka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vaishali Kasaravalli,Unknown,1952-04-12,Girish Kasaravalli ​ ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12
Vinaya Prasad,Vinaya Bhat Udupi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chandrika,Chandrika Arsikere,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Film actress producer,Unknown,Unknown,Unknown,Unknown,Unknown
Saritha,Munipalle,Unknown,Unknown,Filmfare Awards Nandi Awards Tamil Nadu State Film Awards Karnataka State Film Awards,Unknown,Unknown,2.0,Viji Chandrasekhar (sister),Actress voice artist,Unknown,Unknown,Unknown,Unknown,Unknown
Sumalatha,Unknown,1963-08-27,Ambareesh ​ ​​,Unknown,Mandya,Bharatiya Janata Party (05 April 2024–present),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27
Sudha Rani,Jayashree Tumkuru,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Prema,Neravanda Chetticha Prema Bangalore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Neravanda Aiyappa (brother),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rekha Das,Karnataka,Unknown,Om Prakash Rao ​​,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Vanitha Vasu,Bengaluru,Unknown,Sundar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tara,Anuradha,1973-03-04,H. C. Venugopal ​​,Unknown,Unknown,Bharatiya Janata Party,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
T. N. Balakrishna,Unknown,1911-11-02,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2
Doddanna,Nov,Unknown,Shantha [ citation needed ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11
Mukhyamantri Chandru,Honnasandra Narasimhaiah Chandrashekar,1953-08-28,Padma ​​,Unknown,Unknown,Aam Aadmi Party (2022–present),2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28
P. Sai Kumar,Pudipeddi Sai Kumar,1960-07-27,Unknown,Unknown,Unknown,Unknown,Unknown,P. Ravi Shankar (brother),Actor dubbing artist television presenter,Unknown,Unknown,Unknown,Unknown,27
Srinagara Kitty,Krishna,1977-07-08,Bhavana Belagere,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8
Vaibhav Reddy,Sumanth Reddy,1978-04-21,Satvi Reddy,Unknown,Unknown,Unknown,1.0,Sunil Reddy (brother),Unknown,Unknown,Unknown,Unknown,Unknown,21
Vaijanath Biradar,Vaijanath Basappa Biradar,1952-06-26,Unknown,Filmfare (2011),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Basappa Biradar (father) Nagamma Biradar (mother),Unknown,26
Vajramuni,Sadananda Sagar,1944-05-10,Lakshmi ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
Yogi,Swaroop,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8
Bhavya,Bhavya Bangalore,Unknown,Mukesh Patel,Karnataka State Film Awards,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Chaya Singh,Unknown,Unknown,Krishna ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Deepti Sati,Deepti Sati Mumbai,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress Model,Unknown,Unknown,Unknown,Unknown,Unknown
Erica Fernandes,Erica Jennifer Fernandes,1993-05-07,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,7
Ester Noronha,Ester Valerie Noronha,1992-09-12,Noel Sean [ 1 ] ​ ​​ [ 2 ],Unknown,Unknown,Unknown,Unknown,Unknown,Actor singer,Unknown,Unknown,Unknown,Unknown,12
Gautami,Gautami Tadimalla,1968-07-02,Sandeep Bhatia ​ ​​,Unknown,Unknown,All India Anna Dravida Munnetra Kazhagam (2024-present),1.0,Soumya Bollapragada (niece),Unknown,gautamitadimalla .com,Unknown,Unknown,Unknown,2
Gayathiri,Gayathiri Iyer Thirunelveli,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Gayatri Jayaraman,Unknown,Unknown,Samit Sawhny,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Geetha,Geetha Kadambee Tamil Nadu,Unknown,Vasan Thatham ​​,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Genelia D'Souza,Genelia,1987-08-05,Riteish Deshmukh ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5
Harshika Poonacha,Ammathi,Unknown,Bhuvann Ponnannaa ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
